School,Overall_Seed,Berth Type,Season
Oregon,43,Automatic,2024
McNeese,49,Automatic,2024
Samford,53,Automatic,2024
Akron,56,Automatic,2024
Saint Peter's,62,Automatic,2024
Montana St.,65,Automatic,2024
Grambling,66,Automatic,2024
Duke,2,Automatic,2025
Alabama,6,At Large,2025
Wisconsin,12,At Large,2025
Arizona,16,At Large,2025
Oregon,19,At Large,2025
BYU,21,At Large,2025
Saint Mary's (CA),27,At Large,2025
Mississippi St.,32,At Large,2025
Baylor,35,At Large,2025
Vanderbilt,39,At Large,2025
VCU,45,Automatic,2025
Liberty,50,Automatic,2025
Akron,53,Automatic,2025
Montana,58,Automatic,2025
Robert Morris,59,Automatic,2025
American,65,Automatic,2025
Mount St. Mary's,66,Automatic,2025
Florida,4,Automatic,2025
St. John's (NY),8,Automatic,2025
Texas Tech,9,At Large,2025
Maryland,15,At Large,2025
Memphis,20,Automatic,2025
Missouri,23,At Large,2025
Kansas,28,At Large,2025
UConn,31,At Large,2025
Oklahoma,36,At Large,2025
Arkansas,37,At Large,2025
Drake,44,Automatic,2025
Colorado St.,48,Automatic,2025
Grand Canyon,54,Automatic,2025
UNCW,57,Automatic,2025
Omaha,61,Automatic,2025
Norfolk St.,63,Automatic,2025
Auburn,1,At Large,2025
Michigan St.,7,At Large,2025
Iowa St.,10,At Large,2025
Texas A&M,13,At Large,2025
Michigan,17,Automatic,2025
Ole Miss,24,At Large,2025
Marquette,26,At Large,2025
Louisville,29,At Large,2025
Creighton,33,At Large,2025
New Mexico,38,At Large,2025
San Diego St.,43,At Large,2025
North Carolina,46,At Large,2025
UC San Diego,47,Automatic,2025
Yale,51,Automatic,2025
Lipscomb,55,Automatic,2025
Bryant,62,Automatic,2025
Alabama St.,67,Automatic,2025
Saint Francis,68,Automatic,2025
Houston,3,Automatic,2025
Tennessee,5,At Large,2025
Kentucky,11,At Large,2025
Purdue,14,At Large,2025
Clemson,18,At Large,2025
Illinois,22,At Large,2025
UCLA,25,At Large,2025
Gonzaga,30,Automatic,2025
Georgia,34,At Large,2025
Utah St.,40,At Large,2025
Texas,41,At Large,2025
Xavier,42,At Large,2025
McNeese,49,Automatic,2025
High Point,52,Automatic,2025
Troy,56,Automatic,2025
Wofford,60,Automatic,2025
SIUE,64,Automatic,2025
