Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Northwestern,Big Ten,41,41,29,101,21-11,12-9,9-2,7-4,37,295,7-6,4-5,1-0,9-0
Missouri,SEC,42,42,61,114,24-9,12-8,12-1,5-5,35,211,6-9,4-0,6-0,8-0
Oklahoma St.,Big 12,43,43,7,80,18-15,9-11,9-4,4-7,8,193,6-12,4-2,3-1,5-0
Liberty,ASUN,44,44,174,186,23-8,17-4,6-4,6-6,210,66,0-3,1-2,6-3,16-0
NC State,ACC,45,45,83,131,23-10,13-9,10-1,4-6,78,246,1-6,7-4,5-0,10-0
North Carolina,ACC,46,46,31,103,20-13,12-10,8-3,4-7,49,18,1-9,6-4,7-0,6-0
Oregon,Pac-12,47,47,22,97,19-14,13-9,6-5,4-6,29,36,2-9,7-4,5-1,5-0
Penn St.,Big Ten,48,49,18,95,22-13,13-11,9-2,4-7,21,278,7-7,5-5,4-1,6-0
Mississippi St.,SEC,49,48,71,120,21-12,9-11,12-1,4-6,38,229,4-8,4-3,5-1,8-0
Southern California,Pac-12,50,50,59,113,22-10,14-7,8-3,5-5,63,146,3-6,7-2,6-1,6-1
Col. of Charleston(AQ),CAA,51,51,272,219,30-3,19-2,11-1,11-2,333,296,0-1,2-0,12-2,16-0
Ohio St.,Big Ten,52,52,12,91,16-19,8-16,8-3,1-10,9,120,3-13,7-4,0-1,6-1
VCU(AQ),Atlantic 10,53,58,118,159,27-7,18-3,9-4,8-3,159,223,0-1,5-3,12-1,10-2
New Mexico,Mountain West,54,53,65,116,21-11,9-11,12-0,5-6,83,220,3-5,3-2,10-3,5-1
Drake(AQ),MVC,55,54,162,181,26-7,18-5,8-2,6-6,204,262,1-1,3-3,10-3,12-0
Providence,Big East,56,55,87,133,21-11,13-8,8-3,6-6,62,289,4-8,3-2,3-1,11-0
UAB,CUSA,57,56,119,160,24-9,16-7,8-2,6-5,122,281,2-4,1-3,9-1,12-1
Iona(AQ),MAAC,58,59,257,214,27-7,20-3,7-4,8-4,309,143,0-1,0-2,7-2,20-2
Kent St.(AQ),MAC,59,57,187,191,26-6,18-3,8-3,9-6,156,59,0-3,2-1,11-1,13-1
Clemson,ACC,60,60,108,150,23-10,15-7,8-3,5-6,102,333,4-4,3-2,7-2,9-2
Michigan,Big Ten,61,62,14,93,17-15,11-10,6-5,3-7,24,145,2-12,6-2,5-0,4-1
Florida,SEC,62,63,22,97,16-16,9-10,7-6,4-7,22,43,2-13,1-2,9-1,4-0
Texas Tech,Big 12,63,64,37,105,16-16,5-14,11-2,3-7,14,326,5-13,0-3,2-0,9-0
Yale,Ivy League,64,61,177,187,19-8,11-5,8-3,8-7,169,170,0-2,2-3,9-1,8-2
Sam Houston,WAC,65,65,129,166,21-7,15-5,6-2,10-5,133,25,1-3,1-1,10-2,9-1
Arizona St.,Pac-12,66,66,59,113,22-12,13-10,9-2,7-6,55,183,5-6,4-5,5-0,8-1
Pittsburgh,ACC,67,67,100,144,22-11,15-7,7-4,7-5,90,144,4-4,3-5,5-1,10-1
Oklahoma,Big 12,68,68,2,70,15-17,5-14,10-3,2-8,3,76,6-14,3-3,3-0,3-0
Colorado,Pac-12,69,69,41,107,17-16,9-13,8-3,2-9,50,94,3-7,4-4,6-3,4-2
Cincinnati,American,70,70,95,139,20-12,12-8,8-4,4-6,89,236,1-7,2-3,6-2,11-0
UCF,American,71,72,89,134,18-14,9-11,9-3,4-6,96,205,2-6,3-4,4-4,9-0
Bradley,MVC,72,71,152,178,24-9,18-5,6-4,8-5,135,75,0-5,4-2,6-2,14-0
Washington St.,Pac-12,73,73,54,112,17-16,12-10,5-6,5-8,44,83,1-11,6-3,3-1,7-1
Utah Valley,WAC,74,75,119,160,22-8,16-4,6-4,10-5,128,32,1-2,3-2,9-3,9-1
Villanova,Big East,75,76,37,105,17-16,11-11,6-5,5-8,40,105,2-11,3-3,6-2,6-0
Virginia Tech,ACC,76,77,82,129,19-14,9-13,10-1,2-9,85,227,4-6,2-5,5-2,8-1
Seton Hall,Big East,77,78,43,108,16-15,10-11,6-4,6-6,34,56,4-9,2-4,3-1,7-1
Dayton,Atlantic 10,78,74,130,167,22-12,14-7,8-5,5-6,158,219,1-1,1-7,10-3,10-1
Utah,Pac-12,79,79,79,128,17-15,10-11,7-4,4-7,70,231,2-9,3-5,3-1,9-0
Wisconsin,Big Ten,80,80,13,92,17-14,9-12,8-2,5-6,13,72,5-7,6-6,1-1,5-0
Vanderbilt,SEC,81,81,16,94,20-14,13-8,7-6,5-6,19,109,5-11,5-0,5-2,5-1
Toledo,MAC,82,82,236,206,26-7,18-3,8-4,10-3,262,250,0-1,3-2,8-3,15-1
Marshall,Sun Belt,83,83,215,199,23-8,13-6,10-2,9-5,287,328,0-0,2-2,8-5,13-1
Santa Clara,WCC,84,84,83,131,22-9,11-6,11-3,6-3,97,194,1-5,3-1,11-2,7-1
BYU,WCC,85,85,74,125,17-15,9-10,8-5,2-7,80,134,1-7,1-4,8-3,7-1
Hofstra,CAA,86,86,236,206,23-9,17-3,6-6,10-5,178,28,1-2,3-1,5-4,14-2
Southern Miss.,Sun Belt,87,87,179,188,22-7,14-5,8-2,8-6,176,213,1-0,2-4,5-3,14-0
Furman(AQ),SoCon,88,88,256,212,24-7,18-3,6-4,8-3,303,240,0-2,1-0,9-3,14-2
Louisiana(AQ),Sun Belt,89,89,167,184,23-7,16-5,7-2,7-7,171,161,0-2,1-3,10-1,12-1
Wake Forest,ACC,90,90,79,128,19-14,11-11,8-3,4-8,84,237,1-9,4-2,5-2,9-1
UNLV,Mountain West,91,91,64,115,18-13,8-12,10-1,5-5,82,299,2-7,3-1,8-5,5-0
Nebraska,Big Ten,92,92,22,97,16-16,9-12,7-4,4-9,15,80,3-10,4-5,2-0,7-1
Indiana St.,MVC,93,93,253,211,21-12,15-8,6-4,7-6,288,356,0-1,2-4,5-4,14-3
James Madison,Sun Belt,94,94,187,191,19-11,13-7,6-4,8-6,181,214,0-2,2-2,8-3,9-4
San Jose St.,Mountain West,95,95,68,117,19-13,11-9,8-4,5-8,65,189,3-8,3-2,7-3,6-0
UC Irvine,Big West,96,96,174,186,21-11,16-6,5-5,9-6,195,113,1-1,1-3,8-6,11-1
Stanford,Pac-12,97,97,73,122,14-19,8-14,6-5,2-8,53,140,1-11,3-5,2-2,8-1
St. John's (NY),Big East,98,98,74,125,18-15,8-14,10-1,3-8,69,320,1-11,1-3,6-1,10-0
Saint Louis,Atlantic 10,99,99,100,144,20-12,13-7,7-5,4-7,109,53,1-5,2-4,9-2,8-1
UC Santa Barbara(AQ),Big West,100,100,223,203,25-7,18-5,7-2,10-4,297,341,0-0,3-1,9-5,13-1
Colgate(AQ),Patriot,101,101,324,243,25-8,20-1,5-7,11-4,345,238,0-1,1-0,2-5,22-2
Akron,MAC,102,102,167,184,20-11,14-6,6-5,5-6,161,165,0-4,1-4,6-3,13-0
Montana St.(AQ),Big Sky,103,103,204,195,23-9,18-3,5-6,10-5,240,82,0-2,2-1,6-5,15-1
Grand Canyon(AQ),WAC,104,104,114,155,21-11,14-7,7-4,5-5,157,216,1-2,2-1,8-7,10-1
Tulane,American,105,105,119,160,20-11,13-7,7-4,5-4,106,350,2-5,4-0,5-5,9-1
South Alabama,Sun Belt,106,107,141,173,17-16,12-10,5-6,4-10,123,30,0-5,2-4,5-4,10-3
LMU (CA),WCC,107,106,90,136,18-12,9-8,9-4,4-7,93,177,2-3,3-5,4-4,9-0
San Francisco,WCC,108,108,106,146,19-14,9-10,10-4,5-6,88,226,0-6,4-3,6-3,9-2
Vermont(AQ),America East,109,109,236,206,22-10,17-2,5-8,9-6,221,52,0-3,1-3,5-3,16-1
Colorado St.,Mountain West,110,110,49,110,14-18,7-13,7-5,4-8,61,92,1-12,2-1,5-4,6-1
Princeton(AQ),Ivy League,111,116,199,194,19-8,12-4,7-4,7-4,264,331,0-1,2-2,8-3,9-2
Wichita St.,American,112,111,109,151,17-15,10-10,7-5,7-4,99,196,0-7,2-3,6-3,9-2
Southern Utah,WAC,113,112,100,144,18-12,14-7,4-5,5-8,115,62,0-5,3-0,7-7,8-0
UNC Greensboro,SoCon,114,113,212,198,18-12,14-5,4-7,8-6,233,117,0-2,1-1,6-6,11-3
Kennesaw St.(AQ),ASUN,115,114,195,193,23-8,18-3,5-5,10-6,180,39,0-4,2-0,8-2,13-2
Charlotte,CUSA,116,115,151,177,18-14,9-12,9-2,5-8,141,339,1-4,1-2,5-4,11-4
Middle Tenn.,CUSA,117,117,103,145,17-14,12-10,5-4,3-11,107,217,1-4,3-2,6-5,7-3
Belmont,MVC,118,118,167,184,20-11,14-7,6-4,7-7,216,263,1-1,1-4,7-5,11-1
UMass Lowell,America East,119,119,351,262,24-8,13-6,11-2,9-8,353,351,0-1,0-2,5-0,19-5
Southern Ill.,MVC,120,120,185,190,22-10,15-7,7-3,8-6,170,252,1-2,2-4,6-2,13-2
Cal St. Fullerton,Big West,121,121,136,172,18-13,14-7,4-6,7-8,151,123,0-2,3-2,7-6,8-3
Washington,Pac-12,122,122,61,114,16-16,8-13,8-3,2-9,54,155,2-8,3-6,4-1,7-1
Youngstown St.,Horizon,123,123,312,237,22-9,16-6,6-3,9-6,355,353,0-0,0-0,4-7,18-2
Ole Miss,SEC,124,124,37,105,12-21,4-16,8-5,2-9,39,128,1-12,1-6,4-1,6-2
Temple,American,125,127,83,131,16-16,10-9,6-7,6-6,94,212,3-4,4-4,4-6,5-2
Syracuse,ACC,126,126,98,140,17-15,10-11,7-4,5-6,103,313,0-7,1-5,8-1,8-2
Hawaii,Big West,127,125,207,196,21-11,13-8,8-3,6-4,286,345,0-0,1-5,6-5,14-1
Eastern Wash.,Big Sky,128,128,223,203,21-10,16-3,5-7,9-6,266,175,0-1,1-4,6-3,14-2
Towson,CAA,129,129,270,218,21-12,13-7,8-5,8-7,252,283,0-2,1-3,5-3,15-4
Duquesne,Atlantic 10,130,130,148,175,20-12,10-9,10-3,3-7,248,301,0-1,1-3,8-6,11-2
Butler,Big East,131,131,45,109,14-18,6-15,8-3,3-10,27,85,2-12,3-4,2-1,7-1
Cornell,Ivy League,132,132,204,195,15-11,7-8,8-3,6-8,183,267,0-2,2-3,2-6,11-0
Ohio,MAC,133,133,209,197,18-14,11-9,7-5,4-11,182,174,0-2,1-7,5-2,12-3
Fordham,Atlantic 10,134,134,232,205,25-8,13-7,12-1,6-5,273,349,0-2,2-1,6-4,17-1
Troy,Sun Belt,135,135,164,183,17-13,12-8,5-5,7-8,150,158,0-2,0-5,6-5,11-1
Samford,SoCon,136,136,262,216,18-10,15-4,3-6,8-7,280,224,0-1,1-3,4-4,13-2
UC Riverside,Big West,137,137,152,178,21-12,15-7,6-5,9-7,155,98,0-3,3-3,7-4,11-2
SFA,WAC,138,138,133,169,16-13,11-8,5-5,6-5,197,300,0-2,0-4,7-4,9-3
George Mason,Atlantic 10,139,139,136,172,20-13,12-8,8-5,4-7,196,257,0-2,1-3,9-5,10-3
UNC Asheville(AQ),Big South,140,140,306,233,25-7,19-2,6-5,10-6,311,173,1-1,0-1,4-2,20-3
Penn,Ivy League,141,143,144,174,16-13,9-6,7-7,6-9,137,147,0-5,1-3,7-2,8-3
Missouri St.,MVC,142,141,144,174,16-15,13-9,3-6,5-8,134,90,1-3,2-4,4-5,9-3
Seattle U,WAC,143,142,125,163,18-12,11-8,7-4,7-7,147,215,1-2,1-3,5-6,11-1
UNCW,CAA,144,144,244,208,22-10,14-7,8-3,8-6,153,67,1-4,1-3,5-2,15-1
Davidson,Atlantic 10,145,146,119,160,15-16,9-11,6-5,6-6,132,200,0-3,2-4,6-7,7-2
Fresno St.,Mountain West,146,145,65,116,10-20,6-13,4-7,4-9,76,186,0-7,3-5,3-7,4-1
UC Davis,Big West,147,147,207,196,16-14,11-9,5-5,5-9,230,202,0-1,0-5,2-7,14-1
Lipscomb,ASUN,148,148,240,207,17-13,12-8,5-5,7-11,263,306,0-2,1-2,5-4,11-5
Air Force,Mountain West,149,149,109,151,14-18,5-14,9-4,4-9,104,363,0-7,2-4,3-3,9-4
Ball St.,MAC,150,150,251,210,18-12,11-8,7-4,6-7,251,303,0-1,2-5,2-3,14-3
LSU,SEC,151,151,70,118,14-19,3-17,11-2,0-9,52,327,1-11,1-6,3-1,9-1
Georgia,SEC,152,152,90,136,16-16,6-13,10-3,1-10,79,340,1-7,3-4,3-5,9-0
Old Dominion,Sun Belt,153,153,144,174,18-12,11-8,7-4,6-5,192,249,0-1,2-4,7-4,9-3
Northern Ky.(AQ),Horizon,154,154,223,203,20-12,17-6,3-6,6-6,272,87,0-2,1-3,5-4,14-3
South Dakota St.,Summit League,155,155,209,197,18-13,14-6,4-7,6-9,139,10,1-4,0-3,2-4,15-2
Utah Tech,WAC,156,156,116,158,11-19,6-14,5-5,3-13,114,49,0-4,0-5,5-7,6-3
Stetson,ASUN,157,157,181,189,15-13,12-7,3-6,7-9,179,70,0-4,0-1,6-7,9-1
Harvard,Ivy League,158,158,192,192,12-14,5-9,7-5,7-6,172,233,0-2,2-4,2-3,8-5
Richmond,Atlantic 10,159,159,141,173,15-18,8-12,7-6,1-11,162,218,0-2,1-4,5-10,9-2
South Fla.,American,160,160,130,167,14-18,7-12,7-6,4-7,120,312,1-5,1-4,4-6,8-3
Long Beach St.,Big West,161,161,157,179,15-16,11-10,4-6,6-9,138,29,0-4,1-3,5-7,9-2
Tarleton St.,WAC,162,163,107,148,13-16,9-10,4-6,2-12,110,26,0-4,1-5,6-5,6-2
DePaul,Big East,163,164,27,99,10-23,4-18,6-5,2-12,28,139,1-13,2-6,2-3,5-1
Portland,WCC,164,162,95,139,12-19,6-12,6-7,2-10,87,133,0-7,1-5,3-6,8-1
Eastern Ky.,ASUN,165,165,164,183,17-13,13-7,4-6,5-10,149,106,0-4,1-2,6-3,10-4
Longwood,Big South,166,166,333,247,18-12,12-7,6-5,8-8,335,270,0-1,0-1,2-5,16-5
Montana,Big Sky,167,167,192,192,16-14,11-8,5-6,6-9,206,88,0-2,0-4,4-6,12-2
Boston College,ACC,168,168,90,136,16-17,10-12,6-5,4-7,95,321,1-7,3-4,6-3,6-3
California Baptist,WAC,169,169,157,179,15-16,8-11,7-5,4-8,222,354,0-2,1-4,6-4,8-6
Louisiana Tech,CUSA,170,170,111,153,12-18,8-14,4-4,4-11,105,185,0-6,0-5,2-7,10-0
Cleveland St.,Horizon,171,171,282,223,20-12,16-7,4-5,7-9,312,204,0-1,0-4,4-5,16-2
Wyoming,Mountain West,172,172,36,104,8-22,4-15,4-7,1-8,64,176,1-7,1-8,2-6,4-1
Navy,Patriot,173,173,316,238,17-13,11-8,6-5,9-7,315,192,0-2,1-1,2-2,14-8
Quinnipiac,MAAC,174,175,309,235,19-12,11-10,8-2,9-6,324,277,0-2,1-1,4-0,14-9
A&M-Corpus Christi(AQ),Southland,175,174,353,266,19-10,16-4,3-6,8-7,331,89,0-3,0-0,1-1,18-6
Chattanooga,SoCon,176,176,212,198,15-17,10-12,5-5,6-9,259,195,0-1,1-4,3-9,11-3
Western Ky.,CUSA,177,177,128,164,15-16,9-13,6-3,5-9,124,344,1-4,0-4,5-6,9-2
FGCU,ASUN,178,179,220,202,16-15,7-12,9-3,6-9,207,107,1-3,0-0,6-7,9-5
Georgia Tech,ACC,179,178,93,138,13-18,7-15,6-3,3-9,91,182,0-8,2-6,3-3,8-1
Grambling,SWAC,180,180,356,268,22-9,17-4,5-5,9-6,327,61,0-2,2-2,0-0,20-5
Norfolk St.,MEAC,181,181,330,246,18-11,11-6,7-5,6-8,238,55,0-4,0-0,2-3,16-4
Bryant,America East,182,182,272,219,15-13,8-9,7-4,7-8,261,136,0-3,1-2,2-3,12-5
Brown,Ivy League,183,183,195,193,14-13,7-7,7-6,7-8,168,242,0-3,0-4,4-5,10-1
Radford,Big South,184,184,286,225,17-14,13-7,4-7,7-10,278,119,0-3,0-0,2-5,15-6
N.C. Central,MEAC,185,185,293,228,14-12,11-5,3-7,4-10,254,50,0-3,0-0,2-7,12-2
Notre Dame,ACC,186,186,87,133,11-21,3-18,8-3,0-10,101,308,0-6,2-5,2-8,7-2
Weber St.,Big Sky,187,187,177,187,16-15,13-7,3-8,8-8,217,108,1-0,0-5,4-8,11-2
East Carolina,American,188,188,134,170,16-17,7-13,9-4,2-9,119,347,0-5,3-4,2-7,11-1
New Mexico St.,WAC,189,189,95,139,6-15,2-10,4-5,1-9,100,65,0-2,1-6,2-5,3-2
Pacific,WCC,190,190,119,160,14-17,8-10,6-7,7-7,131,316,0-2,1-5,7-6,6-4
Drexel,CAA,191,191,300,230,16-15,11-9,5-6,3-9,326,285,0-0,1-5,4-5,11-5
UTEP,CUSA,192,192,112,154,12-18,7-14,5-4,3-10,111,221,0-5,1-4,2-7,9-2
Buffalo,MAC,193,193,125,163,13-17,9-10,4-7,3-9,112,31,0-4,0-5,4-5,9-3
Texas St.,Sun Belt,194,195,152,178,14-18,9-13,5-5,7-7,175,288,0-1,3-5,2-8,9-4
Wright St.,Horizon,195,194,298,229,16-15,11-11,5-4,7-8,343,324,0-0,0-2,4-8,12-5
St. Thomas (MN),Summit League,196,196,277,220,17-14,10-10,7-4,4-11,235,181,0-3,0-3,3-3,14-5
App State,Sun Belt,197,197,160,180,13-16,9-10,4-6,6-7,208,268,0-0,1-6,2-7,10-3
Gardner-Webb,Big South,198,198,277,220,13-16,10-9,3-7,6-10,304,191,0-1,0-1,2-8,11-6
St. Bonaventure,Atlantic 10,199,199,152,178,14-18,8-11,6-7,2-11,250,334,1-0,0-4,7-8,6-6
Saint Joseph's,Atlantic 10,200,200,181,189,16-17,10-11,6-6,4-7,215,260,0-1,0-7,4-7,12-2
Pepperdine,WCC,201,201,78,127,7-22,2-15,5-7,0-12,86,101,0-4,0-9,2-7,5-2
Rice,CUSA,202,203,125,163,15-15,9-13,6-2,6-7,113,266,1-4,0-5,5-3,9-3
Northwestern St.,Southland,203,202,338,252,21-11,14-6,7-5,10-7,283,58,1-3,0-0,2-3,18-5
Queens (NC),ASUN,204,204,240,207,15-15,8-12,7-3,7-10,260,315,0-1,1-3,3-7,11-4
Massachusetts,Atlantic 10,205,206,136,172,15-16,6-13,9-3,3-8,193,232,0-2,2-2,6-10,7-2
Abilene Christian,WAC,206,205,115,156,9-17,5-12,4-5,4-8,121,150,0-4,0-3,4-9,5-1
Ga. Southern,Sun Belt,207,207,187,191,14-16,10-10,4-6,3-11,205,293,0-0,0-7,4-5,10-4
Siena,MAAC,208,208,304,232,17-15,11-10,6-5,7-8,338,336,0-1,2-0,1-4,14-10
SMU,American,209,209,79,128,10-22,5-14,5-8,1-11,68,51,1-8,1-8,2-5,6-1
Milwaukee,Horizon,210,210,249,209,18-11,15-7,3-4,6-7,281,73,0-2,0-1,7-3,11-5
George Washington,Atlantic 10,211,211,173,185,15-16,10-9,5-7,5-6,274,329,0-0,0-4,5-9,10-3
Detroit Mercy,Horizon,212,212,229,204,13-19,10-12,3-7,5-13,243,77,0-3,0-3,3-8,10-5
Murray St.,MVC,213,213,167,184,16-15,12-10,4-5,3-11,140,210,1-2,1-7,3-4,11-2
Howard(AQ),MEAC,214,214,293,228,19-12,14-3,5-9,6-8,296,171,0-3,0-0,4-6,15-3
North Dakota St.,Summit League,215,215,199,194,14-17,13-8,1-9,5-10,143,20,0-5,0-3,3-2,11-7
UNI,MVC,216,216,148,175,13-18,10-12,3-6,4-7,173,304,0-2,0-6,3-8,10-2
Rider,MAAC,217,217,300,230,15-14,13-8,2-6,8-6,295,180,1-2,0-1,0-4,14-7
FIU,CUSA,218,218,130,167,12-18,8-13,4-5,3-10,129,325,0-5,2-2,4-6,6-5
SIUE,OVC,219,219,338,252,16-14,10-10,6-4,7-8,350,228,0-1,1-1,2-2,13-10
Minnesota,Big Ten,220,220,31,103,9-22,3-18,6-4,1-9,33,311,1-9,2-10,1-2,5-1
Florida St.,ACC,221,222,65,116,9-23,7-14,2-9,4-7,75,131,2-7,0-10,1-4,6-2
Oregon St.,Pac-12,222,221,76,126,10-21,5-16,5-5,1-10,59,206,0-10,2-7,2-2,6-2
La Salle,Atlantic 10,223,224,164,183,15-19,9-12,6-7,5-8,220,269,0-3,0-3,7-7,8-6
Sacramento St.,Big Sky,224,223,181,189,12-18,7-12,5-6,5-10,225,125,0-1,0-4,1-10,11-3
Delaware,CAA,225,226,229,204,16-16,9-11,7-5,4-10,232,207,0-2,1-3,5-7,10-4
Wofford,SoCon,226,225,223,203,14-16,9-11,5-5,4-11,219,141,1-1,0-3,4-7,9-5
Mercer,SoCon,227,227,251,210,12-19,7-13,5-6,4-10,300,332,0-0,1-3,0-12,11-4
Morehead St.,OVC,228,228,319,239,17-11,14-5,3-6,7-8,294,45,0-2,0-2,2-1,15-6
Western Caro.,SoCon,229,229,257,214,15-15,11-9,4-6,6-9,269,265,0-1,0-3,3-7,12-4
San Diego,WCC,230,230,103,145,9-20,4-13,5-7,3-8,108,280,0-5,1-2,3-8,5-5
Northern Ariz.,Big Sky,231,231,144,174,10-23,8-14,2-9,3-13,145,19,0-4,0-4,5-7,5-8
UMES,MEAC,232,232,283,224,14-13,10-6,4-7,7-9,223,38,0-3,1-1,1-5,12-4
Campbell,Big South,233,233,272,219,14-18,11-11,3-7,4-10,330,271,0-1,0-0,5-9,9-8
South Carolina,SEC,234,234,71,120,11-21,4-15,7-6,4-8,66,287,1-9,2-4,2-8,6-0
Northern Colo.,Big Sky,235,235,163,182,12-19,7-13,5-6,3-12,146,27,0-4,1-2,0-9,11-4
Jacksonville,ASUN,236,238,179,188,10-16,6-12,4-4,6-10,165,34,1-2,0-2,2-8,7-4
Purdue Fort Wayne,Horizon,237,236,262,216,15-15,9-12,6-3,7-8,284,162,0-2,1-1,2-7,12-5
North Florida,ASUN,238,237,195,193,12-17,9-10,3-7,3-14,136,12,0-4,0-4,4-3,8-6
North Ala.,ASUN,239,239,244,208,15-14,10-9,5-5,8-10,209,142,0-3,1-1,4-7,10-3
UMBC,America East,240,240,330,246,17-14,8-9,9-5,5-10,334,319,0-1,0-4,1-3,16-6
Jacksonville St.,ASUN,241,241,199,194,10-18,6-12,4-6,3-12,148,96,0-3,0-4,2-5,8-6
Southeast Mo. St.(AQ),OVC,242,242,328,244,17-16,14-8,3-8,5-11,332,137,0-3,0-0,2-4,15-9
Georgetown,Big East,243,243,54,112,7-25,2-19,5-6,1-11,51,290,0-11,1-7,0-5,6-2
Alcorn,SWAC,244,244,321,242,18-13,15-4,3-9,10-9,246,17,0-2,1-4,2-3,15-4
Western Ill.,Summit League,245,245,290,227,13-14,9-10,4-4,5-9,305,307,0-2,0-1,1-6,12-5
Niagara,MAAC,246,247,290,227,15-15,11-11,4-4,4-10,291,255,0-2,0-3,3-1,12-9
Robert Morris,Horizon,247,246,283,224,14-17,11-11,3-6,5-10,301,209,0-1,0-2,3-8,11-6
Army West Point,Patriot,248,249,347,257,15-16,11-9,4-7,7-8,356,361,0-0,0-2,1-4,14-10
